cpf,saldo_antes_da_operacao,saldo_depois_da_operacao,valor_da_movimentacao,status,motivo_da_movimentacao,horario_movimentacao
279.431.085-23,2658.546843760373,1669.963957591085,988.582886169288,completed,saque,2023-10-10 13:31:05
159.024.638-15,4753.01294256149,2754.008845548583,1999.0040970129066,completed,transferencia,2023-01-29 06:25:33
172.368.490-22,1479.8607935901666,604.713036109772,875.1477574803946,completed,transferencia,2023-10-05 14:49:18
604.982.135-60,13288.047234706932,9083.589631479292,4204.457603227641,completed,transferencia,2023-02-09 00:24:39
524.807.693-56,6038.041268156563,4436.779739934803,1601.2615282217605,completed,deposito,2023-01-27 09:27:14
324.678.905-38,5755.777054379481,4340.271559744126,1415.505494635356,completed,,2023-01-20 15:37:05
907.168.235-86,5805.883430213048,4363.559228987701,1442.324201225347,completed,,2023-02-20 12:46:37
073.861.492-04,21141.449745096514,12437.850553052142,8703.599192044372,completed,saque,2023-03-04 22:41:55
764.925.318-09,3889.4657942268705,2042.623189711983,1846.8426045148874,completed,transferencia,2023-08-21 00:04:04
067.314.952-80,5495.267177851009,4783.416176247163,711.8510016038466,completed,transferencia,2023-03-05 08:29:36
972.403.168-31,15440.232961940517,6912.905666787443,8527.327295153074,completed,transferencia,2023-02-14 20:16:10
127.603.849-69,5103.326478657618,4969.760798154276,133.56568050334218,completed,transferencia,2023-10-13 00:02:19
689.521.704-58,18152.92492087074,8469.502395180776,9683.422525689964,completed,pagamento,2023-05-27 21:10:31
564.397.120-80,7108.440891786195,12.102926650099107,7096.337965136096,completed,,2023-03-01 08:26:58
534.167.829-09,4598.499865339825,3686.860866065734,911.6389992740911,completed,deposito,2023-04-28 19:58:50
029.457.361-52,4631.17030162908,2758.8178787774855,1872.3524228515948,completed,transferencia,2023-01-02 02:35:46
543.879.062-00,8321.47247307828,4590.717274515261,3730.755198563019,completed,saque,2023-08-05 18:12:48
960.347.825-38,2948.6132074386296,2839.497589033116,109.1156184055134,completed,saque,2023-06-08 17:54:34
746.192.083-96,7872.585486423444,171.14772961061044,7701.437756812834,completed,transferencia,2023-06-30 13:42:41
109.827.536-59,3247.6562380202367,2640.1815431511764,607.4746948690603,completed,transferencia,2023-03-20 00:16:31
086.724.519-02,12385.63197047598,3578.2512061768593,8807.380764299121,completed,pagamento,2023-09-04 01:18:19
921.083.675-86,14941.414736274482,7890.704849655881,7050.709886618602,completed,,2023-05-31 07:00:44
287.453.160-07,1806.4540553174022,933.9904492922228,872.4636060251794,completed,pagamento,2023-03-14 00:47:33
537.420.168-90,4023.0022154532535,3862.680673456004,160.3215419972492,completed,transferencia,2023-05-27 14:05:15
235.081.467-07,6201.207188060052,5064.307858050436,1136.8993300096163,completed,deposito,2023-01-16 05:26:22
126.035.849-60,3933.7072563537718,3834.5039374586327,99.20331889513929,completed,,2023-08-29 04:16:23
564.397.120-80,24584.425356575703,15752.639317587595,8831.786038988108,completed,saque,2023-08-21 13:01:46
964.170.238-69,20907.74611544148,18114.72580004469,2793.0203153967927,completed,,2023-09-01 02:19:41
617.340.589-00,1806.0310007468638,1302.0242410233263,504.00675972353736,completed,pagamento,2023-07-09 03:19:43
160.837.294-40,7430.00925810649,7129.947563386422,300.0616947200681,completed,transferencia,2023-06-21 12:06:59
608.354.712-17,2904.3329782269807,2363.993599839287,540.3393783876935,completed,saque,2023-09-21 15:03:40
693.487.152-91,3147.579179291399,3147.579179291399,9025.467230240089,denied,saque,2023-05-07 14:30:44
049.786.531-93,3727.382857058763,3609.2073098529027,118.17554720586033,completed,,2023-03-23 22:25:54
617.340.589-00,2590.2220284990613,1615.1310337436496,975.0909947554117,completed,saque,2023-10-09 07:57:55
674.930.185-10,7237.291665935852,7237.291665935852,9946.069276656159,denied,saque,2023-09-06 03:35:59
091.345.782-50,1874.2684723331013,1258.5147985491726,615.7536737839287,completed,transferencia,2023-05-09 12:07:23
964.170.238-69,7640.419309011183,6385.462664844538,1254.956644166645,completed,,2023-03-10 01:18:43
278.496.153-28,14925.798014859432,5318.008340419505,9607.789674439928,completed,deposito,2023-09-06 19:21:12
732.918.645-73,2468.9012664012603,2284.4477534978837,184.4535129033766,completed,,2023-08-10 21:39:16
089.413.756-57,3310.2801346888073,2536.8246306175133,773.4555040712941,completed,transferencia,2023-10-12 01:04:02
183.452.907-79,4459.59386360528,4294.973917716299,164.6199458889807,completed,transferencia,2023-01-17 22:45:23
672.485.039-83,260.9695417823568,260.9695417823568,595.9318682753178,denied,transferencia,2023-02-13 19:25:24
536.712.840-80,718.505851684804,670.7716328339355,47.734218850868544,completed,saque,2023-09-02 00:08:13
964.170.238-69,7212.564238047408,7212.564238047408,8483.207059078288,denied,transferencia,2023-02-18 03:35:14
874.123.906-78,13581.766508244826,8987.035624872191,4594.730883372634,completed,,2023-09-03 03:52:35
513.427.069-43,3411.4887985495257,3179.7397124117842,231.74908613774133,completed,deposito,2023-03-01 13:59:19
561.723.840-07,13735.265645947447,10494.881379062499,3240.3842668849475,completed,transferencia,2023-09-26 01:08:04
045.193.862-33,7138.615952464822,5494.741057903161,1643.874894561661,completed,deposito,2023-07-18 21:27:42
672.908.451-02,6846.866081655453,5651.2219636187265,1195.6441180367262,completed,transferencia,2023-01-06 02:09:36
149.735.280-05,18827.996852799653,13408.473746846652,5419.523105953001,completed,deposito,2023-04-11 11:10:09
732.805.149-32,5694.664625146608,4106.166882798174,1588.4977423484343,completed,,2023-02-27 03:31:26
842.613.579-09,10362.062006247135,3184.443764798506,7177.618241448629,completed,saque,2023-06-09 15:39:07
716.829.543-82,6658.710919256421,5074.237413203866,1584.473506052555,completed,pagamento,2023-06-15 11:15:40
290.541.876-11,11486.345169881344,2629.100752058539,8857.244417822805,completed,saque,2023-08-01 12:45:18
128.569.073-77,4059.577112981935,3441.0316723030787,618.5454406788562,completed,transferencia,2023-03-03 11:30:27
812.456.079-01,9840.81451592753,9004.31347126807,836.5010446594603,completed,pagamento,2023-08-07 01:52:52
593.728.601-40,486.6943511592512,486.6943511592512,567.2049669709065,denied,transferencia,2023-04-04 17:18:55
149.735.280-05,16635.840024039677,8512.832303945794,8123.007720093883,completed,transferencia,2023-03-20 17:20:15
605.932.148-89,13950.980712474106,12355.319966948286,1595.6607455258197,completed,,2023-10-23 09:37:21
543.879.062-00,7846.455770634059,1023.3812257514764,6823.074544882583,completed,saque,2023-06-28 22:06:06
894.735.602-65,4668.9715860555825,4147.922737879671,521.0488481759113,completed,,2023-06-17 11:50:36
840.367.295-00,3655.361705024642,3256.944873792538,398.4168312321039,completed,,2023-06-26 15:41:34
671.843.209-13,23026.707626036095,14868.010126212484,8158.697499823611,completed,pagamento,2023-01-19 02:24:43
160.539.742-34,11851.217232506591,10073.555913337454,1777.6613191691379,completed,,2023-03-12 14:55:47
326.914.850-05,2531.3942132585853,1931.6709002731238,599.7233129854615,completed,,2023-04-19 11:54:36
375.296.408-10,6127.262613231476,5670.496639731527,456.76597349994995,completed,saque,2023-01-26 01:56:56
970.543.621-52,2763.2306854020635,2345.617717955299,417.61296744676446,completed,transferencia,2023-02-15 16:03:48
126.035.849-60,2436.631773930957,1854.8867801914873,581.7449937394697,completed,saque,2023-02-20 02:36:33
109.827.536-59,5156.052686184472,5115.08639144377,40.966294740701876,completed,saque,2023-04-26 07:00:28
738.951.240-79,4722.187536662167,4584.448045391279,137.73949127088787,completed,,2023-09-29 17:09:49
086.724.519-02,11211.570019654258,6667.569727662692,4544.000291991567,completed,deposito,2023-04-16 05:41:40
853.490.261-51,23633.46129350561,17172.410276979575,6461.051016526035,completed,pagamento,2023-09-13 06:01:49
287.453.160-07,4732.0393209886215,3933.1206231012416,798.9186978873798,completed,pagamento,2023-04-14 00:43:02
082.461.397-03,7298.71481313068,7045.66077274188,253.05404038880064,completed,pagamento,2023-05-25 11:49:24
524.807.693-56,3050.447797320475,2145.6406020157224,904.8071953047526,completed,saque,2023-02-11 23:47:00
470.963.821-78,18265.215706402458,17828.27210281369,436.94360358876634,completed,pagamento,2023-05-06 03:17:52
073.861.492-04,15459.63626740532,11565.65274277666,3893.98352462866,completed,pagamento,2023-10-20 01:09:19
395.268.014-15,4096.341296744166,90.93456225472028,4005.406734489446,completed,,2023-01-23 14:19:45
073.861.492-04,8880.151545449597,5141.919244350838,3738.2323010987584,completed,pagamento,2023-05-06 14:20:19
864.539.210-06,6790.017443804784,5852.524992831927,937.4924509728572,completed,,2023-10-03 09:00:36
073.861.492-04,12031.327654755667,11072.656106893763,958.6715478619035,completed,pagamento,2023-05-14 12:12:52
864.257.109-85,2056.260300171435,1685.506188544402,370.754111627033,completed,transferencia,2023-07-31 06:26:37
015.698.234-05,3265.9725111231437,2524.8806155935335,741.0918955296099,completed,,2023-08-16 23:36:30
547.368.201-44,15395.618787363968,12572.0631415034,2823.555645860567,completed,pagamento,2023-01-31 19:53:41
736.905.821-21,13114.080694685152,3702.582909000417,9411.497785684734,completed,saque,2023-02-18 19:55:47
842.613.579-09,15370.732008098532,9703.713567206098,5667.018440892433,completed,,2023-02-08 08:42:20
498.057.621-49,2737.808766381002,2592.6334638622743,145.17530251872748,completed,saque,2023-05-27 13:28:14
832.619.705-02,2575.0685827239954,2399.770040218075,175.29854250592058,completed,pagamento,2023-09-22 18:05:01
907.168.235-86,2550.978949214877,2362.851746114363,188.1272031005143,completed,,2023-02-21 16:58:51
908.436.512-70,2160.3041412408666,1886.4324578230762,273.87168341779045,completed,deposito,2023-08-28 06:52:23
543.879.062-00,20789.86012006978,13066.67505887413,7723.18506119565,completed,pagamento,2023-08-28 08:10:32
328.159.046-24,15761.336847874594,6291.338774031094,9469.9980738435,completed,transferencia,2023-06-06 23:25:14
089.413.756-57,6148.048285077573,6131.838593357683,16.20969171989092,completed,deposito,2023-06-11 04:23:25
594.317.602-07,2620.8406182506897,2237.4502866582816,383.390331592408,completed,pagamento,2023-02-11 02:37:10
106.248.597-11,22211.52184676369,17203.507478265892,5008.014368497798,completed,saque,2023-09-03 09:29:07
310.264.587-90,6233.613263298268,6233.613263298268,7530.011668949839,denied,,2023-03-06 19:34:08
736.905.821-21,13810.812629532305,10569.064066335199,3241.748563197106,completed,deposito,2023-06-06 03:30:33
192.856.704-58,5067.384173338885,4173.807396966863,893.5767763720224,completed,,2023-07-26 00:54:32
139.058.672-30,289.1379002954992,223.32142213169755,65.81647816380165,completed,deposito,2023-06-10 22:22:06
082.461.397-03,4445.671235212176,2820.7534066516746,1624.9178285605014,completed,pagamento,2023-01-04 18:47:51
870.459.362-65,634.1797503785848,634.1797503785848,652.4979721878876,denied,pagamento,2023-05-27 15:30:33
825.406.793-74,4793.597442387008,4776.074495831073,17.522946555934798,completed,,2023-10-04 03:08:20
364.718.590-66,3219.4462335552116,2982.152673792556,237.29355976265575,completed,saque,2023-01-26 16:33:32
024.895.317-60,3124.786211070149,1500.41269921044,1624.373511859709,completed,saque,2023-04-02 16:38:53
378.950.126-30,3408.1750465237383,2593.6299996174243,814.5450469063138,completed,transferencia,2023-08-19 02:26:29
394.681.075-66,5980.342304329188,5211.183104639275,769.1591996899124,completed,,2023-04-16 05:32:30
328.159.046-24,20929.88716617394,12914.14550707698,8015.74165909696,completed,deposito,2023-06-20 04:42:17
498.057.621-49,2949.697263864686,2027.3213915297918,922.3758723348944,completed,deposito,2023-06-06 12:10:06
375.296.408-10,2147.1096676160773,421.6862847120458,1725.4233829040315,completed,transferencia,2023-04-07 04:50:49
305.289.167-77,5379.862410965685,5209.468543779463,170.3938671862217,completed,pagamento,2023-06-21 13:34:32
738.951.240-79,2109.3818070253183,2085.390038167025,23.991768858293387,completed,deposito,2023-01-16 17:01:25
490.821.756-49,9643.509138846799,2369.109653701694,7274.399485145105,completed,saque,2023-01-16 02:00:01
287.453.160-07,997.4125880779251,983.1026761291503,14.309911948774767,completed,pagamento,2023-02-06 01:58:39
910.324.687-69,7640.92174732336,7275.540131150382,365.3816161729781,completed,,2023-10-19 10:47:14
608.951.472-11,3372.466894190088,3018.759826275627,353.7070679144612,completed,transferencia,2023-09-02 16:20:55
496.537.280-83,3416.863013775398,2545.8336589351,871.0293548402976,completed,saque,2023-06-18 10:33:45
786.054.219-67,6511.085877550462,5559.792793089988,951.2930844604745,completed,,2023-02-07 11:07:51
109.827.536-59,2124.623031200102,1174.6198819983726,950.0031492017295,completed,transferencia,2023-10-23 13:14:05
932.750.846-74,5441.686002323644,5441.686002323644,9847.324872603147,denied,transferencia,2023-02-08 08:18:46
894.735.602-65,3409.784331881785,1693.7572193657995,1716.0271125159854,completed,pagamento,2023-08-01 07:36:27
159.024.638-15,7275.627547141522,6077.863165087765,1197.764382053757,completed,saque,2023-02-17 21:51:59
328.159.046-24,13909.295997348889,8743.486280632718,5165.809716716171,completed,transferencia,2023-01-10 02:56:03
560.489.127-49,6212.941649425005,5294.661597576767,918.2800518482383,completed,,2023-07-02 21:28:50
086.724.519-02,9885.720226080082,164.90761052746166,9720.81261555262,completed,deposito,2023-06-21 08:43:46
674.930.185-10,6754.089363872501,6754.089363872501,7085.332808375937,denied,transferencia,2023-03-06 13:50:51
912.405.683-98,22349.837562407094,17845.630143378796,4504.207419028298,completed,saque,2023-07-23 02:45:15
278.496.153-28,11693.277956296468,8992.583994418339,2700.693961878129,completed,transferencia,2023-06-07 08:28:03
201.457.963-61,3223.778703749519,2317.811200773479,905.96750297604,completed,transferencia,2023-02-23 23:34:28
825.406.793-74,6356.645307100151,4802.372779703112,1554.272527397038,completed,,2023-05-22 01:06:34
856.473.092-83,16916.5056985743,14968.399051774566,1948.1066467997343,completed,transferencia,2023-08-18 03:34:32
012.476.398-78,202.5708634778299,70.11188389241218,132.45897958541772,completed,pagamento,2023-01-04 04:30:57
206.435.918-42,5865.789701389249,5746.198174785209,119.59152660403984,completed,deposito,2023-01-10 06:38:19
326.914.850-05,2356.7792236504088,2104.7200858327096,252.05913781769937,completed,,2023-08-02 10:20:23
518.604.237-44,1708.1948721171864,1317.334163191129,390.86070892605755,completed,pagamento,2023-01-30 22:27:05
015.698.234-05,6725.948566673436,5247.930796679742,1478.0177699936937,completed,pagamento,2023-08-22 01:12:14
387.021.694-87,1551.8655263022188,816.5450666119042,735.3204596903146,completed,deposito,2023-06-23 10:44:39
672.908.451-02,2513.157932945417,2103.5904192448934,409.5675137005235,completed,deposito,2023-05-09 04:46:44
127.603.849-69,7366.491983815568,6279.987375218622,1086.5046085969464,completed,,2023-03-16 10:14:16
310.265.479-70,2430.3045607453355,629.1164697080362,1801.1880910372993,completed,pagamento,2023-01-19 23:02:49
268.130.795-30,7943.417494956152,7638.882814646648,304.53468030950415,completed,pagamento,2023-07-20 02:57:22
