cpf,primeiro_nome,ultimo_nome,email,rua,cep,cidade,idade,estado_civil,profissao,tipo_conta
561.723.840-07,emanuelly,rodrigues,uda-costa@example.net,Colônia Moreira,58492-223,Santos,33,,MEDICO,premium
390.427.185-79,Raul,silva,davi-luiz84@example.org,Jardim de da Mota,29335818,Nogueira,70,SOLTEIRO,medico,plus
267.349.801-03,enzo gabriel,CARVALHO,maria-fernandacardoso@example.net,Viela Esther Costela,53012-058,da Rosa de Goiás,45,Divorciado,Engenheiro,premium
746.928.503-29,henrique,CAVALCANTI,daniel96@example.net,Via Emanuel Nogueira,15727-834,da Cruz,44,solteiro,Medico,premium
310.265.479-70,Luiz miguel,Gonçalves,kaique45@example.net,Alameda Dias,94900103,da Mota de Minas,50,,,plus
290.541.876-11,Paulo,costela,kevin29@example.org,Loteamento de Teixeira,75928-300,Cunha do Sul,29,CASADO,,premium
689.521.704-58,JOÃO MIGUEL,Da mota,tfernandes@example.org,Colônia Lima,38487435,Farias,39,Casado,Engenheiro,premium
127.603.849-69,kaique,COSTELA,joao-pedrosantos@example.org,Colônia Bryan Gomes,48511-142,Silva,65,casado,Advogado,plus
278.496.153-28,rodrigo,DA MATA,luiz-henrique40@example.com,Parque Samuel da Mata,82387-599,da Mata,22,solteiro,professor,premium
932.750.846-74,Guilherme,almeida,teixeiralais@example.net,Vereda Thiago das Neves,65161-506,Ferreira do Sul,48,CASADO,MEDICO,premium
049.786.531-93,NATHAN,Pereira,sdias@example.org,Praia Gabriel Porto,67826449,Fernandes,63,solteiro,ADVOGADO,basica
624.107.983-22,danilo,Cunha,silveiravitoria@example.com,Campo Manuela Lima,73783-239,Pereira de Ribeiro,61,divorciado,ENGENHEIRO,plus
679.058.132-40,davi,Cardoso,hda-cunha@example.net,Travessa Levi Rezende,46691700,da Luz,62,casado,medico,basica
482.731.905-79,Calebe,Azevedo,marianeribeiro@example.org,Jardim Moreira,41960524,Moraes de Correia,55,divorciado,Professor,basica
910.324.687-69,gustavo henrique,ALVES,martinsbrenda@example.com,Vereda de Fernandes,24348-882,Ramos,49,,Advogado,plus
960.347.825-38,João felipe,FERREIRA,agatha39@example.net,Vila Kaique Peixoto,28545-169,da Cruz de Minas,73,SOLTEIRO,,basica
160.539.742-34,JOÃO FELIPE,Pinto,gviana@example.org,Setor de Pinto,21242-385,Aragão,71,,ADVOGADO,premium
817.649.325-28,Maria sophia,da cunha,marianelima@example.net,Vereda de Ferreira,00662-974,Nascimento,25,,advogado,premium
908.436.512-70,Davi,jesus,melosarah@example.com,Vereda Ramos,98557825,Mendes da Serra,73,solteiro,MEDICO,basica
514.720.693-07,Ana,VIEIRA,emanuelsouza@example.org,Distrito de Rocha,14469192,Moraes Grande,44,,,premium
608.354.712-17,ana carolina,ribeiro,carolinearagao@example.com,Condomínio Rafael Gonçalves,69622194,Pinto,28,CASADO,professor,basica
840.762.391-13,ian,CAVALCANTI,gsantos@example.net,Viaduto de Sales,85334-595,da Rosa do Sul,21,Divorciado,engenheiro,basica
